CODE_PCT,NOM_COMMERCIAL,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
300941,DEPAKINE Comp Gastroresistant 500mg Fl 20,12.17,12.16,V,ACIDE VALPROIQUE,N
102936,MONURIL Ad Granule/Sus Buv 3gr Bt 1 Sachet,22.765,15.14,E,FOSFOMYCINE,N
103343,METEOXANE Gelule Bt 60,6.914,6.9,I,PHLOROGLUCINOL + SIMETHICONE,N
103327,CARBOPHOS 400mg Comp à Croquer B/2Tx20,6.594,6.56,E,CHARBON ACTIVE,N
301007,ASTRADOL 100mg/2ml Sol Inj Bt 5,8.44,8.44,E,TRAMADOL,N
301008,GABENTIN 300mg Gelule Bt 45,35.37,25.47,V,GABAPENTINE,O
301006,HYPOLIP 200mg Gelule Bt 30,11.145,8.37,E,FENOFIBRATE,N
301003,ONYCAL 250mg Comp Sec Bt 28,48.15,43.456,E,TERBINAFINE,N
103377,ISOPTINE LP 240mg Comp Sec Bt 30,13.328,13.32,E,VERAPAMIL CHLORHYDRATE,N
103364,CARDILOL 6.25mg Comp Fl 30,17.087,9.06,E,CARVEDILOL,N
103365,CARDILOL 12.5 mg Comp Fl 30,16.742,13.71,E,CARVEDILOL,N
103380,APIDRA SOLOSTAR 100 UI/ML Sol Inj Bt 5 Stylos,88.469,88.465,V,INSULINE ANALOGUE:GLULISINE,O
103378,LANTUS SOLOSTAR 100UI/ML Sol Inj Bt 5 Stylos,144.759,137.625,V,INSULINE ANALOGUE : GLARGINE,O
103394,FIXICAL VIT D3 500mg Comp à Croquer Bt/3X20,6.41,6.36,E,CALCIUM+VITAMINE D,N
103332,TEGRETOL 2% Susp Buv Fl 250ml,12.411,12.25,V,CARBAMAZEPINE,N
301055,VOTREX LP Comp à L P 100mg  Bt 10,3.76,3.76,E,DICLOFENAC,N
309062,FALOXIM Pdre Susp Or 100mg/5ml Fl 60ml,14.51,13.56,E,CEFIXIME,N
309076,ZINOX Comp Pell 250mg Bt 14,16.3,12.026,E,CEFUROXIME,N
301059,OROKEN Comp Pell 200mg Bt8,19.725,12.2,E,CEFIXIME,N
103277,FRAGMIN 2500 UI Sol Inj Bt 2Ser/0.2ml,8.782,8.782,E,DALTEPARINE SODIQUE,N
103278,FRAGMIN 5000 UI Sol Inj Bt 2 Ser /0.2ml,14.215,14.214,E,DALTEPARINE SODIQUE,N
108488,LOVENOX 2000 UI Sol Inj Bt 2Ser /0.2ml,18.485,8.058,E,ENOXAPARINE,N
108487,LOVENOX 4000 UI Sol Iinj Bt 2Ser /0.4ml,26.845,12.358,E,ENOXAPARINE,N
100015,LOVENOX 6000 UI Sol Inj Bt 2 Ser /0.6ml,31.955,14.688,E,ENOXAPARINE,N
108527,LOVENOX 8000 UI Sol Inj Bt 2 Ser /08ml,37.86,17.326,E,ENOXAPARINE,N
103363,CEFODOX Comp 100 mg  Bt 10,22.755,19.06,E,CEFPODOXIME,N
103320,FLECAINE 100 mg Comp Bt 30,35.78,35.76,E,FLECAINIDE,N
103316,PHYSIOTENS Comp Pell 0.2mg Bt 30,27.915,16.14,E,MOXONIDINE,N
300816,MONOREL 1mg comp sécable Bt 30,7.075,4.2,E,GLIMEPIRIDE,N
300817,MONOREL 2mg comp sécable Bt 30,11.105,6.96,E,GLIMEPIRIDE,N
300818,MONOREL 3mg comp sécable Bt 30,14.715,8.37,E,GLIMEPIRIDE,N
300819,MONOREL 4mg comp sécable Bt 30,16.85,9.75,E,GLIMEPIRIDE,N
300813,MYCOPHIL 250mg comp sécable Bt 20,36.365,31.04,E,TERBINAFINE,N
300812,SINAPRID 200mg comp sécable Bt 10,7.435,7.43,E,SULPIRIDE,N
300806,CO-LOSAR 50mg/12.5mg Comp Pell Sec  Bt 30,27.245,20.55,E,LOSARTAN+HYDROCHLOROTHIAZIDE,N
300805,LOSAR 50mg comp pell sécable Bt 30,26.79,19.92,E,LOSARTAN,N
300814,DYSMAN 50mg/5ml  Susp buv Fl 150ml + pipette,4.91,4.8,E,ACIDE MEFENAMIQUE,N
300821,GENTA 80mg sol inj Bt 1/2ml,2.125,1.752,E,GENTAMICINE,N
103032,ZELDOX 20mg/ml p.p.i Bt/1 Fl,43.371,43.371,E,ZIPRASIDONE,N
103049,BECONASE 50µg/dose susp nas Fl 200,9.38,9.2,E,BECLOMETASONE,N
103053,RISPERDAL 1mg/ml sol.buv. Fl 60 ml,121.35,41.16,E,RISPERIDONE,O
101895,COSOPT collyre Fl 5 ml,32.475,20.61,E,DORZOLAMIDE+TIMOLOL,N
309034,CINCOR 10mg Comp pell  Sec Bt 30,14.91,8.22,E,BISOPROLOL,N
308192,NIFLUMIC 400mg Suppo Bt 8,2.36,2.36,E,ACIDE NIFLUMIQUE,N
308191,NIFLUMIC 700mg Suppo Bt 8,3.12,3.12,E,ACIDE NIFLUMIQUE,N
103042,CARBOSYLANE Gélule Bt 48 (24 Doses),5.166,4.08,E,CHARBON ACTIVE + SIMETHICONE,N
100895,CARBOSYLANE Gélule Bt 96 (48 Doses),8.203,8.16,E,CHARBON ACTIVE + SIMETHICONE,N
300829,FLUKAS 150 mg Gelule Bt 1,5.555,4.015,E,FLUCONAZOLE,N
300830,FLUKAS 150mg Gélule Bt 4,18.395,16.06,E,FLUCONAZOLE,N
300825,IRYS 1mg Comp pell sec Bt 30,7.64,4.2,E,GLIMEPIRIDE,N
300942,LODEPINE 5 mg Gelule Bt 60,24.78,16.8,E,AMLODIPINE,N
300826,IRYS 2mg Comp pell sec Bt 30,11.02,6.96,E,GLIMEPIRIDE,N
300827,IRYS 3mg Comp pell sec Bt 30,13.295,8.37,E,GLIMEPIRIDE,N
300828,IRYS 4mg Comp pell sec Bt 30,15.475,9.75,E,GLIMEPIRIDE,N
300838,AZIX 500mg Comp pell Bt 3,11.28,7.929,E,AZITHROMYCINE,N
309024,BIOGYL 1.5MUI/250mg Comp pell sec Bt 10,8.345,5.34,E,METRONIDAZOLE+SPIRAMYCINE,N
309049,BIOGYL 1.5MUI/250mg Comp pell sec Bt 20,11.46,10.68,E,METRONIDAZOLE+SPIRAMYCINE,N
309038,RAZON 40mg comp gastro Bt 7,11.255,7,E,PANTOPRAZOLE,N
309035,RAZON 40mg Comp gastro Bt 14,20.28,14,E,PANTOPRAZOLE,N
309039,RAZON 40MG Comp gastro Bt 28,33.35,28,E,PANTOPRAZOLE,N
300837,LANZOR 15mg Gélule Fl 7,10.785,4.41,E,LANSOPRAZOLE,N
300841,MESATEC 500mg comp. gastro Bt 120,66.47,66.36,E,MESALAZINE,N
300851,LANSOPRAL 30mg gélule F 28,36.42,24.276,E,LANSOPRAZOLE,N
300852,LANSOPRAL 15mg gélule F 7,6.73,4.41,E,LANSOPRAZOLE,N
300853,LANSOPRAL 15mg gélule F 30,19.67,18.9,E,LANSOPRAZOLE,N
300840,MEGACEF 200mg gélule Bt 16,24.415,24.4,E,CEFIXIME,N
300849,CORVASAL 2mg comp.séc Bt 30,6.985,3.99,E,MOLSIDOMINE,N
300850,CORVASAL 4mg comp.séc Bt 30,13.01,7.65,E,MOLSIDOMINE,N
300843,"AZRO 900 200mg/5 ml pdre/susp orale Fl 22,5 ml",10.7,7.043,E,AZITHROMYCINE,N
300844,KLAROMIN 500mg comp.pell.séc Bt 14,28.48,19.712,E,CLARITHROMYCINE,N
103054,"CARDENSIEL 2,5 mg comp.pell.séc Bt 30",16.18,5.4,E,BISOPROLOL,N
103055,CARDENSIEL 5 mg comp.pell.séc Bt 30,16.18,6.42,E,BISOPROLOL,N
300856,"AUGMENTIN ENF 500mg/62,5 mg pdre susp orale Bt 12 sachets",14.455,7.044,E,AMOXICILLINE+ACIDE CLAVULANIQUE,N
300855,AXEN 100mg suppo Bt 10,5.245,3.25,E,KETOPROFENE,N
300854,Z ZOLE 400mg comp.pell.séc Bt 1,3.785,3.12,E,ALBENDAZOLE,N
309033,TORVA 10mg comp.pell Bt 30,15.67,14.67,E,ATORVASTATINE,N
309048,TORVA 20mg comp.pell Bt 30,20.455,19.32,E,ATORVASTATINE,N
300845,AMAREL 1mg comp Bt 30,12.075,4.2,E,GLIMEPIRIDE,N
300846,AMAREL 2mg comp séc  Bt 30,18.9,6.96,E,GLIMEPIRIDE,N
300847,AMAREL 3mg comp Bt 30,22.635,8.37,E,GLIMEPIRIDE,N
300848,AMAREL 4mg comp séc  Bt 30,26.095,9.75,E,GLIMEPIRIDE,N
308198,FAMODAR ABR 10mg comp pell Bt 10,2.445,2.44,E,FAMOTIDINE,N
300858,AEROL Aérosol 100µg Fl 200,7.37,5.8,E,SALBUTAMOL,N
103057,LEVOPHTA Collyre 0.05% Fl/5ml,10.931,10.93,E,LEVOCABASTINE,N
300836,LEVOFLOX Comp Pell Sec 500 mg Bt 5,24.595,14.52,E,LEVOFLOXACINE,N
309036,ORADEXON Sol Inj Bt 1,0.91,0.733,E,DEXAMETHASONE,N
300869,CO-ZARTAN FORT Comp Pell 100 MG/25 MG Bt 30,34.66,23.76,E,LOSARTAN+HYDROCHLOROTHIAZIDE,N
300862,DIABIREL Comp Sec 1mg Bt 30,7.32,4.2,E,GLIMEPIRIDE,N
300863,DIABIREL Comp Sec 2mg Bt 30,11.885,6.96,E,GLIMEPIRIDE,N
300864,DIABIREL Comp Sec 3mg Bt 30,13.19,8.37,E,GLIMEPIRIDE,N
300865,DIABIREL Comp Sec 4mg Bt 30,15.06,9.75,E,GLIMEPIRIDE,N
308188,TIAPRAM Comp Sec 100  mg Bt30,5.015,5.01,E,ACIDE TIAPROFENIQUE,N
300860,ANXETIN Gélule 20mg Bt 30,24.675,24.66,E,FLUOXETINE,N
103160,BACTROBAN Pde Der 20mg Tb 15gr,6.759,6.75,E,MUPIROCINE,N
300871,VAINCOR Comp Enro Séc 5mg Bt 28,46.44,21.84,E,OLANZAPINE,O
300872,VAINCOR Comp Pell Séca 10mg Bt 28,88.24,53.424,E,OLANZAPINE,O
300877,VERAX SUPP Enf 25 mg Bt10,2.19,2.19,E,BENZYDAMINE,N
300878,VERAX Supp Ad 100mg Bt10,2.95,2.95,E,BENZYDAMINE,N
300874,BELIFAX Gélule 20mg Bt 7,10.31,6.293,E,OMEPRAZOLE,N
300876,SIFLOX Comp Pell Séc 500mg Bt28,20.445,18.312,E,CIPROFLOXACINE,N
300873,SIFLOX Comp Pell Séc 750mg Bt 14,17.855,10.416,E,CIPROFLOXACINE,N
103104,MOXAL Comp à croquer Bt 30,4.82,4.38,I,ALUMINIUM HYDROXYDE+MAGNESIUM HYDROXYDE,N
300879,FER PLUS Sol Buv Fl 60ml + mesurette,5.07,3.96,E,FER3+POLYMALTOSE COMPLEXE,N
